pl_rade,pl_bmasse,st_teff,pl_eqt,st_mass,sy_dist,st_met
16.409976,388.38826,6300.0,2037.0,1.317,514.555,0.21
13.843115,1022.14128,6149.0,1356.0,1.222,856.436,0.28
6.792654,31.46517,5326.0,1085.0,0.843,211.896,0.051
6.882326,23.51942,5732.0,1294.0,0.89,343.525,-0.102
17.59813,200.2329,6572.0,1645.0,1.379,878.521,0.0
11.433,420.471,5403.0,1315.0,1.001,416.459,0.43
17.71022,505.3497,6460.0,2101.0,1.561,1342.29,0.01
14.90797,3082.951,6424.0,1710.0,1.496,737.668,0.47
15.6926,597.5204,6060.0,1856.0,1.273,800.377,0.22
13.22662,82.95363,5099.0,1003.0,0.837,362.273,0.05
11.960003,177.9848,5080.0,1161.0,0.86,446.035,0.32
14.414774,222.481,6450.0,1518.0,1.272,772.11,0.02
10.121727,54.98459,5495.0,1054.0,0.917,453.808,-0.06
12.520453,117.27927,4512.0,852.9,0.674,300.67,-0.113
8.9672,77.23269,4546.0,954.6,0.7279,263.609,0.186
8.574885,112.19399,4405.0,834.8,0.7133,324.413,0.208
10.223,75.323,5304.0,1025.0,0.936,246.384,0.19
11.960003,241.5508,5702.0,1625.0,1.097,748.585,0.396
11.37711541,239.32479047,5621.0,1429.0,1.05,748.585,0.37
14.022459,292.72143,6214.0,1367.0,1.1955,609.838,0.108
18.920792,191.33366,6536.0,1902.0,1.573,564.409,0.19
12.767051,1000.21101,5587.0,1413.4,1.026,279.485,0.268
12.621334,256.17098,5670.0,1128.0,1.038,642.884,0.18
11.186582,101.38777,3724.0,712.8,0.574,169.318,0.2
12.923977,210.40346,5688.0,1528.0,1.097,486.474,0.335
13.394755,1080.622,5542.0,1226.1,1.076,679.761,0.247
11.825495,56.89157,5416.0,1237.0,0.896,523.067,0.133
13.529263,305.1168,5627.0,1398.3,0.931,623.232,0.081
18.819911,305.1168,6554.0,1793.0,1.564,1080.15,0.22
16.824709,260.93843,6277.0,1634.0,1.257,493.32,0.199
15.815899,1694.0339,6626.0,1998.0,1.411,1477.98,-0.017
18.887165,460.8535,6594.0,2193.0,1.435,960.109,0.332
13.809488,410.0007,6147.0,1741.0,1.351,603.955,0.21
10.592505,183.38791,5137.0,1295.7,0.892,414.537,0.377
6.310667,38.1396,4985.0,1084.0,0.849,240.707,0.25
15.513256,4100.007,7930.0,2730.0,1.78,1458.83,0.041
11.478016,117.5971,3405.0,586.8,0.4861,140.225,0.17
8.0973816,39.855882,4656.1,739.3,0.7311,127.589,0.099
11.56766808,464.02947422,3776.9,895.1,0.601,299.389,0.514
9.90873894,156.05374784,3790.4,772.3,0.6017,194.964,0.522
12.09449018,835.570882,4016.0,939.8,0.662,385.689,0.322
13.05846252,436.69623122,4071.0,828.3,0.655,436.176,0.253
9.785457,43.86054,5679.0,1324.0,1.056,794.637,0.21
11.937585,266.02371,5366.0,1823.0,1.03,638.7,0.34
2.44,12.6,6327.0,1153.0,1.091,109.353,-0.311
4.35,15.2,6327.0,886.0,1.091,109.353,-0.311
2.2,5.69,5266.0,800.0,0.798,32.1585,-0.2
2.388,6.3,5266.0,699.0,0.798,32.1585,-0.2
2.852,8.52,5266.0,602.0,0.798,32.1585,-0.2
1.94,3.9,5266.0,533.0,0.798,32.1585,-0.2
2.601,5.04,5266.0,489.0,0.798,32.1585,-0.2
2.607,8.4,5266.0,440.0,0.798,32.1585,-0.2
2.05,4.55,5732.0,1371.0,0.997,106.307,0.14
12.06086323,725.28442477,5872.0,1360.0,1.353,92.2589,0.27
12.55405838,693.50158407,5788.0,1371.0,1.22,92.2589,0.22
12.73340208,688.41632956,5683.0,1494.0,1.251,92.2589,0.223
2.51,5.7,5710.0,815.0,0.9,73.8713,-0.21
2.5320132,6.1,5698.0,750.83,0.913,73.8713,-0.121
1.664,4.72,5664.0,905.0,0.87,14.682,-0.24
1.482,4.62,5850.0,911.0,0.906,14.682,-0.25
2.916,11.24,5664.0,677.0,0.87,14.682,-0.24
2.608,11.29,5850.0,682.0,0.906,14.682,-0.25
2.562,8.82,5664.0,431.0,0.87,14.682,-0.24
1.31,4.04,5799.0,2130.0,1.04,155.317,-0.03
11.500434,131.89945,5521.0,1228.3,1.324,79.5702,0.29
11.466807,116.64361,5474.0,1519.0,1.257,79.5702,0.04
6.83749,113.14748,6147.0,1626.0,1.271,75.8643,0.36
7.330686,114.10097,6160.0,1634.0,1.294,75.8643,0.36
1.699,7.2,5131.0,1006.0,0.851,44.8155,0.03
1.64,7.51,5125.0,1001.0,0.9,44.8155,0.15
2.522,8.79,5131.0,656.1,0.851,44.8155,0.03
2.39,8.11,5125.0,642.0,0.9,44.8155,0.15
11.937585,1036.76146,6079.0,883.0,1.297,78.0863,0.24
3.53,11.2,5706.0,748.0,1.034,57.2651,-0.07
3.49,20.4,5784.0,752.0,0.996,57.2651,-0.038
3.55,19.7,5788.0,769.0,1.031,57.2651,-0.023
2.7,25.5,5083.0,863.0,0.807,38.5653,-0.05
12.542871,370.58978,5050.0,1209.0,0.812,19.7638,-0.03
12.901559,365.5045,5050.0,1191.0,0.84,19.7638,-0.03
12.77826,362.3262,5023.0,1200.0,0.84,19.7638,0.02
12.756,363.582,5040.0,1201.0,0.806,19.7638,-0.03
3.39512346,9.6,5385.0,818.69,0.8222,53.6089,-0.138
3.39,10.4,5348.0,893.0,0.81,53.6089,-0.15
3.41,10.0,5348.0,880.0,0.81,53.6089,-0.15
3.08,7.2,5348.0,605.0,0.81,53.6089,-0.15
3.1823776,6.1,5385.0,554.51,0.8222,53.6089,-0.138
3.195,8.0,5348.0,600.0,0.81,53.6089,-0.15
3.04,5.8,5348.0,549.0,0.81,53.6089,-0.15
2.995,2.8,5348.0,540.0,0.81,53.6089,-0.15
3.1168896,2.2,5385.0,502.73,0.8222,53.6089,-0.138
17.317905,323.23311,6272.0,2132.0,1.72,161.498,0.3
1.72,7.42,5596.0,2141.0,0.9,63.6796,-0.07
2.25,6.1,4819.0,743.0,0.8,23.606,0.095
2.501,14.4,5070.0,632.2,0.8,28.2938,-0.042
2.34302132,14.8,5106.0,581.75,0.8208,28.2938,-0.03
15.46842,226.93062,6117.0,1459.0,1.148,48.3016,0.02
15.233,217.704,6065.0,1449.0,1.119,48.3016,0.0
15.24424,219.3027,6052.0,1450.0,1.13,48.3016,0.05
1.745,8.83,5978.0,2128.0,1.068,48.0883,-0.04
2.697,17.7,5871.0,637.0,1.09,79.208,0.049
0.892,3.7,4640.0,701.0,0.73,16.32,0.003
1.602,4.74,4699.0,1015.0,0.81,6.53127,0.11
1.511,4.36,4699.0,782.0,0.81,6.53127,0.11
1.61,16.17,4699.0,410.5,0.81,6.53127,0.11
1.31,7.3,4699.0,522.6,0.81,6.53127,0.11
4.71,16.6,5527.0,1073.0,0.92,94.1719,0.04
2.607,26.57,6169.0,546.0,1.098,62.7792,-0.08
2.0,8.32,4684.0,543.0,0.67,39.0341,-0.2
1.87,3.41,4684.0,467.0,0.67,39.0341,-0.2
0.75,0.55,4684.0,909.0,0.67,39.0341,-0.2
0.818,0.72,4684.0,723.0,0.67,39.0341,-0.2
1.137,0.77,4684.0,630.0,0.67,39.0341,-0.2
2.07506422,4.2,5087.0,753.95,0.8531,41.1706,0.105
2.62,8.5,6220.0,1290.0,1.19,45.6181,-0.2
2.54535814,8.7,6353.0,1198.46,1.251,45.6181,-0.018
1.36354953,4.3,6353.0,1585.57,1.251,45.6181,-0.018
1.5,4.1,6220.0,1707.0,1.19,45.6181,-0.2
1.24,2.14,3803.0,709.0,0.439,10.0055,-0.43
1.533,3.09,3803.0,557.0,0.439,10.0055,-0.43
16.14096,371.8611,6801.0,2061.0,1.43,196.852,0.02
2.199,18.496,6120.0,881.2,1.26,139.611,0.0
4.23,7.943,6120.0,585.2,1.26,139.611,0.0
3.25,5.681,6120.0,506.5,1.26,139.611,0.0
1.627,4.73,5300.0,1777.0,0.852,47.2899,0.037
1.574,5.69,5286.0,1759.0,0.877,47.2899,0.03
1.67,4.97,5261.0,1774.0,0.837,47.2899,0.04
